SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
AUSTRAL;04/2014;D;84,56;765;Cruise Ship Inspection Program 2013/2014 - March 2014
OCEAN DREAM;01/2012;A;99,19;32;Cruise Ship Inspection Program 2011/2012 - January 2012
MSC SEAVIEW;12/2018;B;94,60;270;Cruise Ship Inspection Program 2018/2019 -  December 2018
MSC OPERA;03/2012;A;97,41;125;Cruise Ship Inspection Program 2011/2012 - March 2012
MSC MUSICA;11/2010;A;98,66;45;Cruise Ship Inspection Program 2010/2011 - November 2010
ZENITH;03/2011;A;97,02;100;Cruise Ship Inspection Program 2010/2011 - March 2011
EMPRESS (IMPERATRIZ);12/2010;B;93,53;215;Cruise Ship Inspection Program 2010/2011 - December 2010
SEVEN SEAS MARINER;11/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  November 2017
BRAEMAR;01/2019;A;100,00;0;Cruise Ship Inspection Program 2018/2019 - January 2019
COSTA PACIFICA;12/2016;A;99,00;50;Cruise Ship Inspection Program 2016/2017 - December 2016
MSC POESIA;11/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - novembro 2013
STAR PRINCESS;01/2012;D;77,99;1115;Cruise Ship Inspection Program 2011/2012 - January 2012
HAMBURG;11/2011;D;86,36;532;Cruise Ship Inspection Program 2011/2012 - November 2011
SILVER SHADOW;03/2020;A;98,45;75;Cruise Ship Inspection Program 2019/2020 -  March 2020
BOUDICCA;04/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - April 2014
MAGELLAN;02/2016;A;100,00;0;Cruise Ship Inspection Program 2015/2016 - January 2016
GRAND PRINCESS;02/2013;C;87,85;360;Cruise Ship Inspection Program 2012/2013 - February 2013
MSC PREZIOSA;03/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - February 2014
COSTA NEOROMANTICA;10/2013;A;97,48;125;Cruise Ship Inspection Program 2013/2014 - October 2013
SEVEN SEAS NAVIGATOR;12/2015;B;95,79;205;Cruise Ship Inspection Program 2015/2016 - December 2015
GRAND HOLIDAY;02/2013;B;96,62;170;Cruise Ship Inspection Program 2012/2013 - February 2013
SILVER WHISPER;11/2017;A;100,00;0;Cruise Ship Inspection Program 2017/2018 -  November 2017
AZAMARA PURSUIT;12/2019;B;96,00;200;Cruise Ship Inspection Program 2019/2020 -  December 2019
AURORA;01/2011;C;86,95;430;Cruise Ship Inspection Program 2010/2011 - January 2011
AMERA (PRINSENDAM);02/2012;A;98,41;75;Cruise Ship Inspection Program 2011/2012 - February 2012
MSC FANTASIA;11/2019;B;94,60;270;Cruise Ship Inspection Program 2019/2020 - November 2019
OCEAN PRINCESS;01/2016;A;98,97;50;Cruise Ship Inspection Program 2015/2016 - January 2016
COSTA FASCINOSA;12/2013;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - December 2013
SILVER SPIRIT;01/2014;A;100,00;0;Cruise Ship Inspection Program 2013/2014 - January 2014
GRAND HOLIDAY;02/2012;B;96,64;170;Cruise Ship Inspection Program 2011/2012 - February 2012
THE WORLD;11/2010;A;100,00;0;Cruise Ship Inspection Program 2010/2011 - November 2010
COSTA LUMINOSA;01/2019;A;100,00;0;Cruise Ship Inspection Program 2018/2019 - January 2019
FRAM;03/2017;A;98,94;27;Cruise Ship Inspection Program 2016/2017 - March 2017
OCEAN DREAM;03/2012;B;95,25;188;Cruise Ship Inspection Program 2011/2012 - March 2012
MSC LIRICA;11/2010;B;93,12;225;Cruise Ship Inspection Program 2010/2011 - November 2010
COSTA PACIFICA;12/2011;C;92,10;320;Cruise Ship Inspection Program 2011/2012 - December 2011
MSC ARMONIA;11/2011;D;84,50;745;Cruise Ship Inspection Program 2011/2012 - November 2011
